video length,gloss
1.001000,"don’t-KNOW"
1.101100,"YOUR"
1.134467,"#OFF"
1.201200,"KNOW-[casual-version]"
1.251250,"WRINKLED-SHIRT"
1.266667,"LEATHER"
1.267933,"SAY"
1.267933,"UNDERWEAR"
1.301300,"GOOD (single hand)"
1.334667,"ATTEND"
1.334667,"DEAF-APPLAUSE / yay"
1.334667,"MY / MINE"
1.334667,"TEXT-[verb-form/texted]"
1.334667,"remove clothing / STRIP-[clothing]"
1.368033,"FINGERSPELL"
1.368033,"GOODY-GOODY / goody two shoes / holier than thou / pious"
1.401400,"GET-DRESSED / COSTUME"
1.434767,"BACKPACK-[A-hand version]"
1.434767,"GOOD JOB"
1.434767,"THANK-YOU"
1.468133,"VOCABULARY"
1.468133,"YES"
1.468133,"how-MANY / how-MUCH (one hand)"
1.501500,"BLOUSE-SHIRT"
1.501500,"CLOTHES PIN"
1.501500,"GLASSES / THOMAS GALLAUDET / GALLAUDET UNIVERSITY / Moses"
1.501500,"HALF / 1/2"
1.501500,"SAY-NO-TO-ME"
1.501500,"SECOND MOM / step-mom"
1.501500,"WE-2"
1.533333,"ONE-MORE"
1.534867,"BACKPACK-[C-hand version]"
1.534867,"BACKPACK-[modified-C-hand version]"
1.534867,"EVERY-FRIDAY"
1.534867,"MINUTE / 1-MINUTE (on wrist)"
1.534867,"MINUTE / SECOND (on hand)"
1.534867,"NAME"
1.534867,"OUR"
1.534867,"SHIRT (two handed version)"
1.534867,"SIGN-[in-fluent-ASL, do-a-sign, sign-language]"
1.534867,"TIE / NECKWARE"
1.534867,"UNDERWEAR (old version)"
1.534867,"WHAT?"
1.534867,"WHO?"
1.568233,"HOW?"
1.568233,"LOVE"
1.568233,"SOCKS"
1.568233,"STUDENT (casual)"
1.568233,"WEEKLY"
1.568233,"shoe laces / SHOE STRING"
1.600000,"SHORT-SLEEVED-SHIRT"
1.601600,"DISLIKE"
1.601600,"LIKE"
1.601600,"ONCE-a-WEEK"
1.601600,"WHAT-DO"
1.601600,"[one-person]-SAY-NO-TO-[other-person]"
1.634967,"BACKPACK-[small-C-hand version]"
1.634967,"CLEAN-UP"
